,xmf,upp_noerr,low_noerr,med_noerr,upp_err,low_err,med_err
0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1,0.375,0.0,0.0,0.0,0.0,0.0,0.0
2,0.625,0.0,0.0,0.0,0.0,0.0,0.0
3,0.875,0.0,0.0,0.0,0.0,0.0,0.0
4,1.125,0.0,0.0,0.0,0.0,0.0,0.0
5,1.375,0.0,0.0,0.0,0.0,0.0,0.0
6,1.625,0.0,0.0,0.0,0.0,0.0,0.0
7,1.875,0.0,0.0,0.0,0.0,0.0,0.0
8,2.125,0.0,0.0,0.0,0.0,0.0,0.0
9,2.375,0.0,0.0,0.0,0.0,0.0,0.0
10,2.625,0.0,0.0,0.0,0.0,0.0,0.0
11,2.875,0.0,0.0,0.0,0.0,0.0,0.0
12,3.125,0.0,0.0,0.0,0.0,0.0,0.0
13,3.375,0.0,0.0,0.0,0.0,0.0,0.0
14,3.625,0.0,0.0,0.0,0.0,0.0,0.0
15,3.875,0.0,0.0,0.0,0.0,0.0,0.0
16,4.125,0.0,0.0,0.0,0.0,0.0,0.0
17,4.375,0.0,0.0,0.0,0.0,0.0,0.0
18,4.625,0.0,0.0,0.0,0.0,0.0,0.0
19,4.875,0.0,0.0,0.0,0.0,0.0,0.0
20,5.125,0.0,0.0,0.0,0.0,0.0,0.0
21,5.375,0.0,0.0,0.0,0.0,0.0,0.0
22,5.625,0.0,0.0,0.0,0.0,0.0,0.0
23,5.875,0.0,0.0,0.0,0.0,0.0,0.0
24,6.125,0.0,0.0,0.0,0.0,0.0,0.0
25,6.375,0.0,0.0,0.0,0.0,0.0,0.0
26,6.625,0.0,0.0,0.0,0.0,0.0,0.0
27,6.875,0.0,0.0,0.0,0.0,0.0,0.0
28,7.125,0.0,0.0,0.0,0.0,0.0,0.0
29,7.375,0.0,0.0,0.0,0.0,0.0,0.0
30,7.625,0.0,0.0,0.0,0.0,0.0,0.0
31,7.875,0.0,0.0,0.0,0.0,0.0,0.0
32,8.125,0.0,0.0,0.0,0.0,0.0,0.0
33,8.375,0.0,0.0,0.0,0.0,0.0,0.0
34,8.625,0.0,0.0,0.0,0.0,0.0,0.0
35,8.875,0.0,0.0,0.0,1.3500377443063606e-07,0.0,0.0
36,9.125,2.700075488612721e-07,0.0,1.3500377443063606e-07,1.3500377443063606e-07,0.0,1.3500377443063606e-07
37,9.375,0.0,0.0,0.0,2.700075488612721e-07,0.0,1.3500377443063606e-07
38,9.625,5.400150977225442e-07,1.1340317052173427e-07,2.700075488612721e-07,2.700075488612721e-07,0.0,1.3500377443063606e-07
39,9.875,4.0501132329190813e-07,1.3500377443063606e-07,2.700075488612721e-07,5.400150977225442e-07,1.3500377443063606e-07,2.700075488612721e-07
40,10.125,6.750188721531802e-07,2.700075488612721e-07,4.0501132329190813e-07,4.2661192720080947e-07,1.3500377443063606e-07,2.700075488612721e-07
41,10.375,5.400150977225442e-07,1.3500377443063606e-07,2.700075488612721e-07,5.400150977225442e-07,1.3500377443063606e-07,2.700075488612721e-07
42,10.625,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,6.750188721531802e-07,2.700075488612721e-07,4.0501132329190813e-07
43,10.875,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,8.100226465838163e-07,2.700075488612721e-07,4.725132105072262e-07
44,11.125,8.100226465838163e-07,3.8341071938300636e-07,5.400150977225442e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
45,11.375,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,8.316232504927177e-07,2.700075488612721e-07,5.400150977225442e-07
46,11.625,6.750188721531802e-07,1.3500377443063606e-07,4.0501132329190813e-07,9.450264210144524e-07,2.700075488612721e-07,5.400150977225442e-07
47,11.875,1.2366345737846258e-06,6.750188721531802e-07,9.450264210144524e-07,1.0800301954450885e-06,4.0501132329190813e-07,8.100226465838163e-07
48,12.125,1.3500377443063605e-06,5.400150977225442e-07,9.450264210144524e-07,1.1016307993539897e-06,6.534182682442784e-07,8.100226465838163e-07
49,12.375,1.2150339698757244e-06,5.400150977225442e-07,8.100226465838163e-07,1.3500377443063605e-06,5.400150977225442e-07,9.450264210144524e-07
50,12.625,1.4850415187369966e-06,6.750188721531802e-07,1.0800301954450885e-06,1.4850415187369966e-06,8.100226465838163e-07,1.0800301954450885e-06
51,12.875,1.3500377443063605e-06,6.750188721531802e-07,9.450264210144524e-07,1.3716383482152619e-06,6.750188721531802e-07,1.0800301954450885e-06
52,13.125,1.7550490675982686e-06,1.0800301954450885e-06,1.3500377443063605e-06,1.3716383482152619e-06,6.750188721531802e-07,9.450264210144524e-07
53,13.375,1.4850415187369966e-06,6.750188721531802e-07,1.1475320826604063e-06,1.6200452931676325e-06,6.750188721531802e-07,1.0800301954450885e-06
54,13.625,1.2366345737846258e-06,5.400150977225442e-07,9.450264210144524e-07,1.4850415187369966e-06,8.100226465838163e-07,1.0800301954450885e-06
55,13.875,1.8900528420289047e-06,1.0800301954450885e-06,1.6200452931676325e-06,1.641645897076534e-06,8.100226465838163e-07,1.2150339698757244e-06
56,14.125,1.2150339698757244e-06,5.400150977225442e-07,9.450264210144524e-07,1.4850415187369966e-06,6.750188721531802e-07,1.0800301954450885e-06
57,14.375,1.4850415187369966e-06,6.750188721531802e-07,9.450264210144524e-07,1.3500377443063605e-06,6.750188721531802e-07,9.450264210144524e-07
58,14.625,9.666270249233536e-07,2.700075488612721e-07,5.400150977225442e-07,1.0800301954450885e-06,4.0501132329190813e-07,6.750188721531802e-07
59,14.875,5.400150977225442e-07,1.3500377443063606e-07,4.0501132329190813e-07,1.2150339698757244e-06,5.400150977225442e-07,8.100226465838163e-07
60,15.125,1.8900528420289047e-06,1.0800301954450885e-06,1.3500377443063605e-06,1.4850415187369966e-06,7.884220426749145e-07,1.0800301954450885e-06
61,15.375,1.8900528420289047e-06,1.0800301954450885e-06,1.4850415187369966e-06,1.8900528420289047e-06,1.0800301954450885e-06,1.4850415187369966e-06
62,15.625,1.6200452931676325e-06,8.100226465838163e-07,1.2150339698757244e-06,2.700075488612721e-06,1.6200452931676325e-06,2.160060390890177e-06
63,15.875,3.240090586335265e-06,2.160060390890177e-06,2.700075488612721e-06,4.185117007349717e-06,2.9700830374739932e-06,3.5100981351965372e-06
64,16.125,5.535154751656078e-06,4.185117007349717e-06,4.8601358795028975e-06,7.83021891697689e-06,6.188573019900357e-06,6.885192495962439e-06
65,16.375,9.855275533436432e-06,8.100226465838163e-06,8.775245337991344e-06,1.5795441608384416e-05,1.2803757967001524e-05,1.4242898202432103e-05
66,16.625,2.459228755028466e-05,2.1060588811179225e-05,2.254563032991622e-05,3.037584924689311e-05,2.700075488612721e-05,2.8620800179294844e-05
67,16.875,4.1062748030822255e-05,3.645101909627173e-05,3.861107948716191e-05,5.994167584720241e-05,5.449832366215916e-05,5.7376604133020324e-05
68,17.125,8.42423552447169e-05,7.814558479142937e-05,8.113726843281227e-05,0.00012271843095744818,0.0001156766340831462,0.00011887082338617504
69,17.375,0.0001613943122563368,0.00015415270979587747,0.0001576169066477676,0.0002808294514196319,0.0002669024620493675,0.00027392265831976053
70,17.625,0.00033136406426450757,0.0003164488472654109,0.0003250890888289716,0.0006679500745239922,0.0006513500104200012,0.0006592909324320111
71,17.875,0.0009472512832170691,0.0009249594599830826,0.0009353061492554466,0.0014691056732032042,0.0014440597729708327,0.001458580778948592
72,18.125,0.0026844852527414713,0.0026461441808031706,0.0026645694959374637,0.002645825571895514,0.0026091423463072217,0.002630481042893728
73,18.375,0.0042970999381644415,0.004254330742424816,0.004274894517346091,0.0038438706667968873,0.0038025163106132948,0.003823171888101182
74,18.625,0.005027761965986952,0.004979797825007236,0.005006479970985707,0.004886585818989347,0.004845220662503801,0.00486702107199886
75,18.875,0.004952494661666385,0.004906312570509152,0.004928920302575307,0.0065698722802512675,0.006516907599466641,0.006544442969299513
76,19.125,0.00617865834270617,0.006122512972995957,0.00614800438568395,0.010530602214195314,0.010449248939723411,0.010488038224192822
77,19.375,0.01759271445647361,0.017509843739577112,0.017553258253358513,0.016683372233116667,0.016594912359958736,0.01664677540994401
78,19.625,0.027552137301656815,0.027443561866108718,0.027499526330761196,0.021780563940217806,0.021672739125655545,0.021732570098407716
79,19.875,0.025289819651861896,0.025191072491092353,0.025235985546769934,0.022756873435843324,0.02265433536908777,0.022705542300729308
80,20.125,0.02059956712195153,0.02050197019334014,0.020555539691034214,0.020117220236514778,0.0200277289345202,0.020067163537031387
81,20.375,0.015419094286479623,0.015327561727415652,0.015375512368017924,0.016264784930268013,0.016181520002350173,0.016226306154479793
82,20.625,0.012140084812051493,0.012056020661789025,0.012094920649353469,0.012835278648255587,0.012753833571217073,0.012802745438693293
83,20.875,0.009770190754639268,0.00969869815585178,0.00973478466475709,0.010297898908284716,0.010214498976592445,0.010259004320871248
84,21.125,0.008097899000766979,0.008032357368356393,0.008061682888238216,0.008466302700584275,0.008398044792232147,0.008434023298117911
85,21.375,0.00690872095377021,0.00685953637866964,0.006888162578999913,0.0071759420247272335,0.007106787691312884,0.007146154791936858
86,21.625,0.0060269249005480904,0.005971962163901889,0.005999432731923035,0.006264801551094871,0.006215341568294463,0.006236769367372093
87,21.875,0.005563705349872669,0.005521249362889722,0.005544335008317362,0.005622837003073288,0.005572664200343885,0.005590033785962132
88,22.125,0.005176395721484105,0.00513012182776026,0.005153431579453455,0.005032600501262547,0.004976892543781489,0.00500168733699342
89,22.375,0.00462770258114116,0.004581309884095817,0.004604168723182412,0.004244734674138286,0.004209828098221501,0.004228993234039674
90,22.625,0.003368360372497301,0.0033193864032848436,0.0033426934549025487,0.0031637432518192518,0.0031255047827495187,0.0031451154310233125
91,22.875,0.0016221783528036365,0.0015899880528283958,0.0016034398289126643,0.0019720865355239365,0.0019380979852732794,0.0019568797103720697
92,23.125,0.0006503347820362828,0.000632471082603621,0.0006414029323199518,0.0010256236743495422,0.001002743234659038,0.0010153633874928137
93,23.375,0.00026330056134755807,0.00025259206195972007,0.0002580597148241608,0.00046915431659939194,0.00045375308601234497,0.0004607003802445455
94,23.625,0.00012946861967897996,0.00012188680770695546,0.00012636353286707533,0.00020625876657512574,0.00019505885344836018,0.00019994058993177198
95,23.875,6.068149653108229e-05,5.508153996769951e-05,5.778161545631223e-05,9.276919363775586e-05,8.597580370840627e-05,8.923749489865043e-05
96,24.125,2.7832378136619927e-05,2.389566807422258e-05,2.592072469068212e-05,4.347121536666481e-05,3.9016090810453816e-05,4.090614365248272e-05
97,24.375,1.3770384991924878e-05,1.1205313277742793e-05,1.2487849134833835e-05,1.9710551066872865e-05,1.590884477890615e-05,1.782049822484396e-05
98,24.625,5.016740257842435e-06,3.375094360765901e-06,4.185117007349717e-06,9.045252886852615e-06,6.885192495962439e-06,7.965222691407528e-06
99,24.875,2.4300679397514488e-06,1.4850415187369966e-06,2.025056616459541e-06,3.936710062397347e-06,2.6784748847038194e-06,3.375094360765901e-06
100,25.125,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,1.7550490675982686e-06,9.234258171055505e-07,1.2150339698757244e-06
101,25.375,2.700075488612721e-07,0.0,1.3500377443063606e-07,6.966194760620815e-07,1.3500377443063606e-07,4.0501132329190813e-07
102,25.625,0.0,0.0,0.0,2.700075488612721e-07,0.0,1.3500377443063606e-07
103,25.875,0.0,0.0,0.0,1.3500377443063606e-07,0.0,0.0
104,26.125,0.0,0.0,0.0,0.0,0.0,0.0
105,26.375,0.0,0.0,0.0,0.0,0.0,0.0
106,26.625,0.0,0.0,0.0,0.0,0.0,0.0
107,26.875,0.0,0.0,0.0,0.0,0.0,0.0
108,27.125,0.0,0.0,0.0,0.0,0.0,0.0
109,27.375,0.0,0.0,0.0,0.0,0.0,0.0
110,27.625,0.0,0.0,0.0,0.0,0.0,0.0
111,27.875,0.0,0.0,0.0,0.0,0.0,0.0
112,28.125,0.0,0.0,0.0,0.0,0.0,0.0
113,28.375,0.0,0.0,0.0,0.0,0.0,0.0
114,28.625,0.0,0.0,0.0,0.0,0.0,0.0
115,28.875,0.0,0.0,0.0,0.0,0.0,0.0
116,29.125,0.0,0.0,0.0,0.0,0.0,0.0
117,29.375,0.0,0.0,0.0,0.0,0.0,0.0
118,29.625,0.0,0.0,0.0,0.0,0.0,0.0
119,29.875,0.0,0.0,0.0,0.0,0.0,0.0
120,30.125,0.0,0.0,0.0,0.0,0.0,0.0
121,30.375,0.0,0.0,0.0,0.0,0.0,0.0
122,30.625,0.0,0.0,0.0,0.0,0.0,0.0
123,30.875,0.0,0.0,0.0,0.0,0.0,0.0
124,31.125,0.0,0.0,0.0,0.0,0.0,0.0
125,31.375,0.0,0.0,0.0,0.0,0.0,0.0
126,31.625,0.0,0.0,0.0,0.0,0.0,0.0
127,31.875,0.0,0.0,0.0,0.0,0.0,0.0
128,32.125,0.0,0.0,0.0,0.0,0.0,0.0
129,32.375,0.0,0.0,0.0,0.0,0.0,0.0
130,32.625,0.0,0.0,0.0,0.0,0.0,0.0
131,32.875,0.0,0.0,0.0,0.0,0.0,0.0
132,33.125,0.0,0.0,0.0,0.0,0.0,0.0
133,33.375,0.0,0.0,0.0,0.0,0.0,0.0
134,33.625,0.0,0.0,0.0,0.0,0.0,0.0
135,33.875,0.0,0.0,0.0,0.0,0.0,0.0
136,34.125,0.0,0.0,0.0,0.0,0.0,0.0
137,34.375,0.0,0.0,0.0,0.0,0.0,0.0
138,34.625,0.0,0.0,0.0,0.0,0.0,0.0
139,34.875,0.0,0.0,0.0,0.0,0.0,0.0
140,35.125,0.0,0.0,0.0,0.0,0.0,0.0
141,35.375,0.0,0.0,0.0,0.0,0.0,0.0
142,35.625,0.0,0.0,0.0,0.0,0.0,0.0
143,35.875,0.0,0.0,0.0,0.0,0.0,0.0
144,36.125,0.0,0.0,0.0,0.0,0.0,0.0
145,36.375,0.0,0.0,0.0,0.0,0.0,0.0
146,36.625,0.0,0.0,0.0,0.0,0.0,0.0
147,36.875,0.0,0.0,0.0,0.0,0.0,0.0
148,37.125,0.0,0.0,0.0,0.0,0.0,0.0
149,37.375,0.0,0.0,0.0,0.0,0.0,0.0
150,37.625,0.0,0.0,0.0,0.0,0.0,0.0
151,37.875,0.0,0.0,0.0,0.0,0.0,0.0
152,38.125,0.0,0.0,0.0,0.0,0.0,0.0
153,38.375,0.0,0.0,0.0,0.0,0.0,0.0
154,38.625,0.0,0.0,0.0,0.0,0.0,0.0
155,38.875,0.0,0.0,0.0,0.0,0.0,0.0
156,39.125,0.0,0.0,0.0,0.0,0.0,0.0
157,39.375,0.0,0.0,0.0,0.0,0.0,0.0
158,39.625,0.0,0.0,0.0,0.0,0.0,0.0
159,39.875,0.0,0.0,0.0,0.0,0.0,0.0
