,zmf_flux_8p4GHz,mst_medflux_8p4GHz,mst_lowflux_8p4GHz,mst_uppflux_8p4GHz,sfr_medflux_8p4GHz,sfr_lowflux_8p4GHz,sfr_uppflux_8p4GHz,zmf_flux_5GHz,mst_medflux_5GHz,mst_lowflux_5GHz,mst_uppflux_5GHz,sfr_medflux_5GHz,sfr_lowflux_5GHz,sfr_uppflux_5GHz,zmf_flux_3GHz,mst_medflux_3GHz,mst_lowflux_3GHz,mst_uppflux_3GHz,sfr_medflux_3GHz,sfr_lowflux_3GHz,sfr_uppflux_3GHz,zmf_flux_1p4GHz,mst_medflux_1p4GHz,mst_lowflux_1p4GHz,mst_uppflux_1p4GHz,sfr_medflux_1p4GHz,sfr_lowflux_1p4GHz,sfr_uppflux_1p4GHz,zmf_flux_610MHz,mst_medflux_610MHz,mst_lowflux_610MHz,mst_uppflux_610MHz,sfr_medflux_610MHz,sfr_lowflux_610MHz,sfr_uppflux_610MHz,zmf_flux_325MHz,mst_medflux_325MHz,mst_lowflux_325MHz,mst_uppflux_325MHz,sfr_medflux_325MHz,sfr_lowflux_325MHz,sfr_uppflux_325MHz,zmf_flux_150MHz,mst_medflux_150MHz,mst_lowflux_150MHz,mst_uppflux_150MHz,sfr_medflux_150MHz,sfr_lowflux_150MHz,sfr_uppflux_150MHz
0,0.0,9.827555656433105,9.232495346069335,10.48854305267334,0.13518389233045577,-0.2832380184058275,0.5620932702366516,0.0,9.716630935668945,9.104356842041016,10.462073669433593,0.03102876908841386,-0.41894819790071075,0.5106559988893895,0.0,9.597796440124512,8.960275650024414,10.426529884338379,-0.07210182703327786,-0.5698548548252199,0.4606056160250952,0.0,9.419555187225342,8.770101280212403,10.363186950683593,-0.23759957276056998,-0.8042288899122391,0.3916974209309769,0.0,9.210746765136719,8.555688858032227,10.271619033813476,-0.43513195773008817,-1.057785448239505,0.31004241328669396,0.0,9.044047832489014,8.422674102783203,10.186570281982421,-0.601554809996095,-1.2430277569502417,0.24532467143270914,0.0,8.878155708312988,8.290022010803222,10.082717208862304,-0.782665104526097,-1.4385170637734204,0.17481443025943136
1,0.25,10.351466178894043,9.928997154235839,10.81578311920166,0.7658009158232604,0.40744938594688274,1.180617185081188,0.25,10.280494689941406,9.831164741516114,10.737547683715821,0.6737404168713177,0.3154093316371754,1.0397082839654037,0.25,10.207483291625977,9.734284591674804,10.67565517425537,0.5867710041502352,0.22545296698761857,0.9229786318850515,0.25,10.079941272735596,9.56867561340332,10.601624679565429,0.4466509176528094,0.08228773746546904,0.7884136408139975,0.25,9.920727729797363,9.365360488891602,10.541050453186035,0.28571637959271173,-0.10889767721213887,0.6804181555908897,0.25,9.783834457397461,9.194165496826171,10.49270248413086,0.1645661789389149,-0.2775676645513483,0.6135254438711656,0.25,9.602291107177734,8.978704872131347,10.427581520080567,0.006485316284015176,-0.5062663325526474,0.5380742590426192
2,0.5,10.67772388458252,10.300422668457031,11.128129005432129,1.6241011431395862,1.337009319400516,1.9500568289046218,0.5,10.622188568115234,10.235902099609374,11.059426994323731,1.4393941524402059,1.1549901527979909,1.7945331034235692,0.5,10.547936916351318,10.179164772033692,10.978405952453613,1.2444020445587571,0.9652888333611114,1.6208360596831273,0.5,10.40683889389038,10.058167381286621,10.838927917480468,0.9714849495664222,0.713862390352214,1.3296400239350104,0.5,10.252346515655518,9.879920959472656,10.701800575256348,0.7410211057001739,0.4937162481879361,1.0695223123004922,0.5,10.136286735534668,9.720507621765137,10.633291358947755,0.5948141033543535,0.3377820915135528,0.9312496194995045,0.5,9.991651058197021,9.510355949401855,10.56793788909912,0.440462430556691,0.13748858377751824,0.8151595286865515
3,0.75,10.79769229888916,10.491747856140137,11.246777153015136,2.050667316430206,1.8590399644737086,2.316040023386202,0.75,10.70815372467041,10.375212669372559,11.153455429077148,1.9005308924621453,1.6998382060762405,2.178040429156249,0.75,10.643016815185547,10.267635726928711,11.079243469238282,1.7464270409912563,1.5345404640128624,2.044835252262857,0.75,10.575410842895508,10.15356731414795,10.979072570800781,1.496688890862582,1.2684065872423498,1.8431742357648373,0.75,10.450066566467285,10.094385223388672,10.852832984924316,1.1870632625211979,0.9706006534044975,1.562846847996025,0.75,10.327165603637695,9.993536758422852,10.741079330444336,0.971434969172822,0.7637098370599054,1.3256873610937074,0.75,10.180529117584229,9.812247276306152,10.636981964111328,0.7569210262558326,0.5431891615904049,1.1009986092952777
4,1.0,10.996612548828125,10.683776473999023,11.393737182617187,2.381198204061795,2.2160488196131154,2.6493259290123925,1.0,10.849333763122559,10.549724044799804,11.28193172454834,2.2156825007896592,2.0562524056697984,2.468783218666661,1.0,10.727138996124268,10.41635425567627,11.177107162475586,2.055186829232829,1.8958069456601947,2.3104160340544806,1.0,10.608802795410156,10.251375579833985,11.05262336730957,1.8299560711930485,1.6541812673052894,2.1121046754333404,1.0,10.534146308898926,10.100554466247559,10.935990753173828,1.5660959963823218,1.3667824073892512,1.9023949449247932,1.0,10.45523452758789,10.057839279174805,10.844642829895019,1.3410593743297976,1.1411266980512085,1.7130193355737964,1.0,10.311367988586426,9.974832534790039,10.714932441711426,1.0656376213624497,0.8749298670502138,1.442466742526501
5,1.25,11.105091094970703,10.836798820495606,11.406851081848144,2.6454992054708595,2.5139449637688998,2.8606628454340735,1.25,10.96352767944336,10.7039155960083,11.304423332214355,2.480659916527868,2.3455904071624314,2.701091304808833,1.25,10.868523597717285,10.577080726623535,11.236756324768066,2.3160517150973945,2.1708899716305363,2.545508922294189,1.25,10.675298690795898,10.358535614013672,11.10216854095459,2.0715112488556686,1.9254196669985237,2.3284792119156883,1.25,10.53804874420166,10.170367240905762,10.974881172180176,1.825380088584459,1.6578398522543059,2.1050891758014445,1.25,10.480403900146484,10.061476707458496,10.892008361816407,1.6344775045875926,1.4447765129426289,1.9560464916855707,1.25,10.392807006835938,9.99905834197998,10.783347129821777,1.3650290216781893,1.169442392330625,1.7435432359861343
6,1.5,11.2609281539917,10.983705520629883,11.579294204711914,2.8667941757095323,2.7491122871930664,3.0879138904487924,1.5,11.110183715820312,10.849588394165039,11.443076820373534,2.6849620538833694,2.5683240699444196,2.918475129497467,1.5,10.973929405212402,10.69954776763916,11.326864242553711,2.526097686725472,2.404817475771755,2.7415862457653275,1.5,10.77093505859375,10.482008056640625,11.143661766052245,2.281577118861364,2.1556171330363303,2.507180224002403,1.5,10.596837997436523,10.258451461791992,10.99467514038086,2.0257016678787876,1.8822867328697028,2.2754304819079247,1.5,10.485547065734863,10.11424732208252,10.909774780273438,1.8369524735028326,1.6774464719637068,2.1169749610903548,1.5,10.414762496948242,9.983930587768555,10.809185981750488,1.6049642114473035,1.4172994316637275,1.9369345907427027
7,1.75,11.535140991210938,11.169746398925781,11.77286434173584,3.051221223757351,2.9416011658099497,3.204101990499814,1.75,11.214016914367676,10.933828926086425,11.662455177307129,2.869316212267127,2.7744169395300458,3.05883095139197,1.75,11.083531379699707,10.829387664794922,11.461225318908692,2.7089891627782245,2.6059767229674984,2.904988619236618,1.75,10.869211196899414,10.57450210571289,11.202486991882324,2.4523820181696134,2.342903671403082,2.6637182000058477,1.75,10.647082328796387,10.34186996459961,11.017038764953613,2.198367466007236,2.070912400917983,2.4169130096042126,1.75,10.515368461608887,10.186417655944824,10.918754577636719,2.005229313713593,1.868657549979913,2.2525125744679495,1.75,10.4179048538208,10.02795555114746,10.81182285308838,1.786674974322227,1.616766668740282,2.072426888776339
8,2.0,11.753632068634033,11.349617118835448,12.304782905578612,3.220616251694701,3.1553421687961456,3.444238532132166,2.0,11.467809677124023,11.169382514953613,11.998042106628418,3.0691508754482877,2.984781900412098,3.255863092723895,2.0,11.17820930480957,10.876582145690918,11.567997055053711,2.8609993006630563,2.782876385950665,3.155747625247677,2.0,10.902071952819824,10.658723030090332,11.261126518249512,2.615395002811196,2.5178136247891905,2.7867599113066865,2.0,10.709962844848633,10.432849845886231,11.076346397399902,2.3477669265248973,2.238318100111657,2.546374287330792,2.0,10.56977367401123,10.262163162231445,10.940400123596191,2.157931627961597,2.032753971874623,2.3786726740346165,2.0,10.433236122131348,10.069759368896484,10.83147144317627,1.932244816253467,1.7809611033212454,2.193473184526329
9,2.25,11.769367218017578,11.556656837463379,11.971900939941406,3.346352080738774,3.2869613212473765,3.6110612505314843,2.25,11.644262313842773,11.501720428466797,11.971900939941406,3.2869613212473765,3.1484055424186446,3.6110612505314843,2.25,11.152149200439453,10.985063552856445,11.600839538574219,2.996157982625699,2.8939438553031396,3.2869613212473765,2.25,10.987412452697754,10.77299976348877,11.274211883544922,2.7594268183194113,2.6657350262470567,2.9511486656032937,2.25,10.787479877471924,10.527885055541992,11.112635612487793,2.490040737624848,2.3843698290567374,2.674990310473725,2.25,10.628777980804443,10.332403182983398,10.970497703552246,2.2931797310000066,2.18018014975794,2.499867025943275,2.25,10.459281921386719,10.137137603759765,10.833937873840332,2.0535448258085194,1.926069405422651,2.2937931006010577
10,2.5,,,,,,,2.5,,,,,,,2.5,11.450254440307617,11.199732475280761,11.676338195800781,3.2952827151361563,3.0619734293817276,3.53325458335207,2.5,11.088500022888184,10.776634216308594,11.446545600891113,2.874825603191273,2.8019674496884934,3.0388027397179624,2.5,10.829866409301758,10.586534843444824,11.18178653717041,2.6097312223010634,2.527379465123302,2.783709745489968,2.5,10.673849105834961,10.410971641540527,11.01073932647705,2.4017574002524547,2.307485347860726,2.5880390842821948,2.5,10.507485389709473,10.194353675842285,10.844603538513184,2.1715962631068053,2.054589041941011,2.3807246813696006
11,2.75,,,,,,,2.75,,,,,,,2.75,11.750905990600586,11.02318084716797,11.844001846313477,3.3145176785674137,3.2071462442091883,3.7381209758718947,2.75,11.228432655334473,10.834290504455566,11.763141632080078,3.0818463064889507,2.935699101127827,3.4171383959140997,2.75,10.888566970825195,10.633729934692383,11.194953918457031,2.743466858745317,2.655999819045243,2.882326400713609,2.75,10.738090515136719,10.488845825195312,11.02968822479248,2.5276677973080277,2.4346008187377595,2.721539806848781,2.75,10.549826622009277,10.264687538146973,10.870805740356445,2.2769494246717343,2.1715462893726336,2.4751317541671924
12,3.0,,,,,,,3.0,,,,,,,3.0,,,,,,,3.0,,,,,,,3.0,10.965235710144043,10.744653701782227,11.210586547851562,2.7957981128786646,2.7427269048409824,2.9253572018204466,3.0,10.81406021118164,10.52467155456543,11.074742317199707,2.6197733357681763,2.5288134087952496,2.754187939147577,3.0,10.58431625366211,10.321032524108887,10.92048168182373,2.366705181772184,2.2774808205946955,2.5290378209747693
13,3.25,,,,,,,3.25,,,,,,,3.25,,,,,,,3.25,,,,,,,3.25,11.076225280761719,10.845483779907227,11.263811683654785,2.9327636681575404,2.8483832719558677,2.9748460666929937,3.25,10.82832145690918,10.59666244506836,11.080527954101562,2.6977759896774662,2.637147604670969,2.817685260912545,3.25,10.649460792541504,10.369359664916992,10.94058895111084,2.4713300821635364,2.387582938552562,2.6338806323099533
14,3.5,,,,,,,3.5,,,,,,,3.5,,,,,,,3.5,,,,,,,3.5,10.809991836547852,10.763360023498535,10.937475204467773,2.9670091282384816,2.9517963140389605,2.9802608178745826,3.5,11.002595901489258,10.769479751586914,11.147857666015625,2.8120515472443146,2.7391670631055,2.9514813871278913,3.5,10.701450824737549,10.423993492126465,10.994823455810547,2.56303171474761,2.4742247142859863,2.7272775691974336
15,3.75,,,,,,,3.75,,,,,,,3.75,,,,,,,3.75,,,,,,,3.75,,,,,,,3.75,10.884092330932617,10.676326751708984,11.079933166503906,2.906379108663989,2.848981730269326,3.059323746744113,3.75,10.703739166259766,10.495257377624512,11.0131196975708,2.639300929409666,2.58234139165724,2.794434390665803
16,4.0,,,,,,,4.0,,,,,,,4.0,,,,,,,4.0,,,,,,,4.0,,,,,,,4.0,,,,,,,4.0,10.776711463928223,10.421624183654785,11.143619537353516,2.696355855388305,2.650403193618451,2.7881836103733737
17,4.25,,,,,,,4.25,,,,,,,4.25,,,,,,,4.25,,,,,,,4.25,,,,,,,4.25,,,,,,,4.25,10.706244468688965,10.296402587890626,11.12352180480957,2.787226827039815,2.738524069321793,2.979269606966541
18,4.5,,,,,,,4.5,,,,,,,4.5,,,,,,,4.5,,,,,,,4.5,,,,,,,4.5,,,,,,,4.5,,,,,,
19,4.75,,,,,,,4.75,,,,,,,4.75,,,,,,,4.75,,,,,,,4.75,,,,,,,4.75,,,,,,,4.75,,,,,,
20,5.0,,,,,,,5.0,,,,,,,5.0,,,,,,,5.0,,,,,,,5.0,,,,,,,5.0,,,,,,,5.0,,,,,,
21,5.25,,,,,,,5.25,,,,,,,5.25,,,,,,,5.25,,,,,,,5.25,,,,,,,5.25,,,,,,,5.25,,,,,,
22,5.5,,,,,,,5.5,,,,,,,5.5,,,,,,,5.5,,,,,,,5.5,,,,,,,5.5,,,,,,,5.5,,,,,,
23,5.75,,,,,,,5.75,,,,,,,5.75,,,,,,,5.75,,,,,,,5.75,,,,,,,5.75,,,,,,,5.75,,,,,,
24,6.0,,,,,,,6.0,,,,,,,6.0,,,,,,,6.0,,,,,,,6.0,,,,,,,6.0,,,,,,,6.0,,,,,,
25,6.25,,,,,,,6.25,,,,,,,6.25,,,,,,,6.25,,,,,,,6.25,,,,,,,6.25,,,,,,,6.25,,,,,,
26,6.5,,,,,,,6.5,,,,,,,6.5,,,,,,,6.5,,,,,,,6.5,,,,,,,6.5,,,,,,,6.5,,,,,,
27,6.75,,,,,,,6.75,,,,,,,6.75,,,,,,,6.75,,,,,,,6.75,,,,,,,6.75,,,,,,,6.75,,,,,,
28,7.0,,,,,,,7.0,,,,,,,7.0,,,,,,,7.0,,,,,,,7.0,,,,,,,7.0,,,,,,,7.0,,,,,,
